game_id,game_date,team_abbrev,home_away,shots_for,shots_against,goals_for,goals_against
2023020099,2023-10-25,NJD,home,22,25,4,6
2023020099,2023-10-25,WSH,away,25,22,6,4
2023020100,2023-10-26,BOS,home,30,32,3,4
2023020100,2023-10-26,ANA,away,32,30,4,3
2023020101,2023-10-26,CAR,home,45,26,3,2
2023020101,2023-10-26,SEA,away,26,45,2,3
2023020102,2023-10-26,DET,home,36,29,1,4
2023020102,2023-10-26,WPG,away,29,36,4,1
2023020103,2023-10-26,MTL,home,29,36,4,3
2023020103,2023-10-26,CBJ,away,36,29,3,4
2023020104,2023-10-26,PHI,home,35,28,6,2
2023020104,2023-10-26,MIN,away,28,35,2,6
2023020105,2023-10-26,PIT,home,29,31,4,0
2023020105,2023-10-26,COL,away,31,29,0,4
2023020106,2023-10-26,TBL,home,31,23,6,0
2023020106,2023-10-26,SJS,away,23,31,0,6
2023020107,2023-10-26,NYI,home,38,47,3,2
2023020107,2023-10-26,OTT,away,47,38,2,3
2023020108,2023-10-26,DAL,home,32,24,1,4
2023020108,2023-10-26,TOR,away,24,32,4,1
2023020109,2023-10-26,CGY,home,27,35,0,3
2023020109,2023-10-26,STL,away,35,27,3,0
2023020110,2023-10-26,EDM,home,29,32,0,3
2023020110,2023-10-26,NYR,away,32,29,3,0
2023020111,2023-10-27,VGK,home,21,24,3,4
2023020111,2023-10-27,CHI,away,24,21,4,3
2023020112,2023-10-27,CAR,home,40,20,3,0
2023020112,2023-10-27,SJS,away,20,40,0,3
2023020113,2023-10-27,NJD,home,39,27,5,4
2023020113,2023-10-27,BUF,away,27,39,4,5
2023020114,2023-10-27,WSH,home,33,41,3,2
2023020114,2023-10-27,MIN,away,41,33,2,3
2023020115,2023-10-27,ARI,home,24,41,4,5
2023020115,2023-10-27,LAK,away,41,24,5,4
2023020116,2023-10-27,VAN,home,35,22,5,0
2023020116,2023-10-27,STL,away,22,35,0,5
2023020117,2023-10-28,PHI,home,30,25,4,7
2023020117,2023-10-28,ANA,away,25,30,7,4
2023020118,2023-10-28,FLA,home,37,33,3,2
2023020118,2023-10-28,SEA,away,33,37,2,3
2023020119,2023-10-28,BOS,home,31,24,4,1
2023020119,2023-10-28,DET,away,24,31,1,4
2023020120,2023-10-28,CBJ,home,34,34,0,2
2023020120,2023-10-28,NYI,away,34,34,2,0
2023020121,2023-10-28,MTL,home,29,45,4,3
2023020121,2023-10-28,WPG,away,45,29,3,4
2023020122,2023-10-28,NSH,home,24,35,3,2
2023020122,2023-10-28,TOR,away,35,24,2,3
2023020123,2023-10-28,PIT,home,43,26,2,5
2023020123,2023-10-28,OTT,away,26,43,5,2
2023020124,2023-10-28,VAN,home,33,24,3,4
2023020124,2023-10-28,NYR,away,24,33,4,3
2023020125,2023-10-28,LAK,home,40,30,3,4
2023020125,2023-10-28,VGK,away,30,40,4,3
2023020126,2023-10-29,BUF,home,29,23,4,0
2023020126,2023-10-29,COL,away,23,29,0,4
2023020127,2023-10-29,NJD,home,30,34,4,3
2023020127,2023-10-29,MIN,away,34,30,3,4
2023020128,2023-10-29,WSH,home,42,31,3,1
2023020128,2023-10-29,SJS,away,31,42,1,3
2023020129,2023-10-29,EDM,home,33,26,5,2
2023020129,2023-10-29,CGY,away,26,33,2,5
2023020130,2023-10-30,BOS,home,26,37,3,2
2023020130,2023-10-30,FLA,away,37,26,2,3
2023020131,2023-10-30,PHI,home,28,32,2,3
2023020131,2023-10-30,CAR,away,32,28,3,2
2023020132,2023-10-30,PIT,home,42,27,3,4
2023020132,2023-10-30,ANA,away,27,42,4,3
2023020133,2023-10-30,TBL,home,37,43,3,4
2023020133,2023-10-30,SEA,away,43,37,4,3
2023020134,2023-10-30,NYI,home,40,36,3,4
2023020134,2023-10-30,DET,away,36,40,4,3
2023020135,2023-10-30,WPG,home,29,26,2,3
2023020135,2023-10-30,NYR,away,26,29,3,2
2023020136,2023-10-30,DAL,home,33,25,5,3
2023020136,2023-10-30,CBJ,away,25,33,3,5
2023020137,2023-10-30,ARI,home,33,30,8,1
2023020137,2023-10-30,CHI,away,30,33,1,8
2023020138,2023-10-30,VGK,home,25,39,3,2
2023020138,2023-10-30,MTL,away,39,25,2,3
2023020139,2023-10-31,TOR,home,30,27,1,4
2023020139,2023-10-31,LAK,away,27,30,4,1
2023020140,2023-10-31,VAN,home,27,29,5,2
2023020140,2023-10-31,NSH,away,29,27,2,5
