team,opponent,player_name,position,position_id,line,line_id,jersey_number,injury_status,game_time_decision,scrape_date,team_slug,player_id
minnesota-wild,boston-bruins,Jesper Wallstedt,Backup Goalie,g2,Goalies,g,,,False,2025-12-14,,
montreal-canadiens,edmonton-oilers,Jakub Dobes,Starting Goalie,g1,Goalies,g,75.0,,False,2025-12-14,,
montreal-canadiens,edmonton-oilers,Jacob Fowler,Backup Goalie,g2,Goalies,g,,,False,2025-12-14,,
new-jersey-devils,vancouver-canucks,Jacob Markstrom,Starting Goalie,g1,Goalies,g,25.0,,False,2025-12-14,,
new-jersey-devils,vancouver-canucks,Jake Allen,Backup Goalie,g2,Goalies,g,34.0,,False,2025-12-14,,
philadelphia-flyers,carolina-hurricanes,Dan Vladar,Starting Goalie,g1,Goalies,g,80.0,,False,2025-12-14,,
philadelphia-flyers,carolina-hurricanes,Samuel Ersson,Backup Goalie,g2,Goalies,g,33.0,,False,2025-12-14,,
pittsburgh-penguins,utah-hockey-club,Sergei Murashov,Starting Goalie,g1,Goalies,g,1.0,,False,2025-12-14,,
pittsburgh-penguins,utah-hockey-club,Arturs Silovs,Backup Goalie,g2,Goalies,g,,,False,2025-12-14,,
seattle-kraken,buffalo-sabres,Joey Daccord,Starting Goalie,g1,Goalies,g,35.0,,False,2025-12-14,,
seattle-kraken,buffalo-sabres,Philipp Grubauer,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-14,,
utah-hockey-club,pittsburgh-penguins,Karel Vejmelka,Starting Goalie,g1,Goalies,g,70.0,,False,2025-12-14,,
utah-hockey-club,pittsburgh-penguins,Vitek Vanecek,Backup Goalie,g2,Goalies,g,41.0,,False,2025-12-14,,
vancouver-canucks,new-jersey-devils,Kevin Lankinen,Starting Goalie,g1,Goalies,g,32.0,,False,2025-12-14,,
vancouver-canucks,new-jersey-devils,Thatcher Demko,Backup Goalie,g2,Goalies,g,35.0,,False,2025-12-14,,
anaheim-ducks,new-york-rangers,Lukas Dostal,Starting Goalie,g1,Goalies,g,1.0,,False,2025-12-15,,
anaheim-ducks,new-york-rangers,Ville Husso,Backup Goalie,g2,Goalies,g,33.0,,False,2025-12-15,,
dallas-stars,los-angeles-kings,Jake Oettinger,Starting Goalie,g1,Goalies,g,29.0,,False,2025-12-15,,
dallas-stars,los-angeles-kings,Casey DeSmith,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-15,,
florida-panthers,tampa-bay-lightning,Sergei Bobrovsky,Starting Goalie,g1,Goalies,g,72.0,,False,2025-12-15,,
florida-panthers,tampa-bay-lightning,Daniil Tarasov,Backup Goalie,g2,Goalies,g,40.0,,False,2025-12-15,,
los-angeles-kings,dallas-stars,Darcy Kuemper,Starting Goalie,g1,Goalies,g,35.0,,False,2025-12-15,,
los-angeles-kings,dallas-stars,Anton Forsberg,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-15,,
nashville-predators,st-louis-blues,Juuse Saros,Starting Goalie,g1,Goalies,g,74.0,,False,2025-12-15,,
nashville-predators,st-louis-blues,Justus Annunen,Backup Goalie,g2,Goalies,g,29.0,,False,2025-12-15,,
new-york-rangers,anaheim-ducks,Igor Shesterkin,Starting Goalie,g1,Goalies,g,31.0,,False,2025-12-15,,
new-york-rangers,anaheim-ducks,Jonathan Quick,Backup Goalie,g2,Goalies,g,32.0,,False,2025-12-15,,
ottawa-senators,winnipeg-jets,Linus Ullmark,Starting Goalie,g1,Goalies,g,35.0,,False,2025-12-15,,
ottawa-senators,winnipeg-jets,Leevi Merilainen,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-15,,
st-louis-blues,nashville-predators,Joel Hofer,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-15,,
st-louis-blues,nashville-predators,Jordan Binnington,Backup Goalie,g2,Goalies,g,50.0,,False,2025-12-15,,
tampa-bay-lightning,florida-panthers,Jonas Johansson,Starting Goalie,g1,Goalies,g,31.0,,False,2025-12-15,,
winnipeg-jets,ottawa-senators,Connor Hellebuyck,Starting Goalie,g1,Goalies,g,37.0,,False,2025-12-15,,
winnipeg-jets,ottawa-senators,Eric Comrie,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-15,,
anaheim-ducks,columbus-blue-jackets,Ville Husso,Starting Goalie,g1,Goalies,g,33.0,,False,2025-12-16,,
anaheim-ducks,columbus-blue-jackets,Lukas Dostal,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-16,,
boston-bruins,utah-hockey-club,Jeremy Swayman,Starting Goalie,g1,Goalies,g,1.0,,False,2025-12-16,,
boston-bruins,utah-hockey-club,Joonas Korpisalo,Backup Goalie,g2,Goalies,g,70.0,,False,2025-12-16,,
calgary-flames,san-jose-sharks,Dustin Wolf,Starting Goalie,g1,Goalies,g,32.0,,False,2025-12-16,,
calgary-flames,san-jose-sharks,Devin Cooley,Backup Goalie,g2,Goalies,g,,,False,2025-12-16,,
chicago-blackhawks,toronto-maple-leafs,Spencer Knight,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-16,,
chicago-blackhawks,toronto-maple-leafs,Arvid Soderblom,Backup Goalie,g2,Goalies,g,40.0,,False,2025-12-16,,
colorado-avalanche,seattle-kraken,Mackenzie Blackwood,Starting Goalie,g1,Goalies,g,39.0,,False,2025-12-16,,
columbus-blue-jackets,anaheim-ducks,Jet Greaves,Starting Goalie,g1,Goalies,g,,,False,2025-12-16,,
columbus-blue-jackets,anaheim-ducks,Elvis Merzlikins,Backup Goalie,g2,Goalies,g,90.0,,False,2025-12-16,,
detroit-red-wings,new-york-islanders,John Gibson,Starting Goalie,g1,Goalies,g,36.0,,False,2025-12-16,,
